batch_size,hidden_units,learning_rate,model,1-gram %,2-gram %,3-gram %,4-gram %,train_loss,val_loss
32.0,256.0,0.01,lstm,88.2022476196289,54.80226135253906,13.068181991577148,0.5714285969734192,1.3151217699050903,1.3615145683288574
64.0,256.0,0.001,lstm,86.81318664550781,59.11602020263672,16.66666603088379,0.0,1.2106038331985474,1.2729288339614868
32.0,512.0,0.001,lstm2,95.0,70.94972229003906,33.70786666870117,7.344632625579834,0.9969210624694824,1.1613069772720337
64.0,256.0,0.001,lstm2,93.29608917236328,53.370784759521484,16.94915199279785,1.1363636255264282,1.1596413850784302,1.2296017408370972
32.0,512.0,0.0001,lstm,81.86813354492188,46.961326599121094,10.0,0.0,1.2891087532043457,1.3320642709732056
32.0,256.0,0.0001,rnn,73.71428680419922,35.057472229003906,6.936416149139404,0.5813953280448914,1.4292137622833252,1.4632844924926758
32.0,768.0,0.001,rnn,87.64044952392578,50.84745788574219,15.909090995788574,1.7142857313156128,1.1666711568832397,1.252716064453125
32.0,1024.0,0.001,lstm,93.93939208984375,60.975608825683594,22.08588981628418,5.55555534362793,0.994333803653717,1.1482367515563965
64.0,768.0,0.0001,lstm2,83.83233642578125,42.77108383178711,12.121212005615234,3.0487804412841797,1.212448239326477,1.2666332721710205
64.0,768.0,0.0001,lstm,79.19075012207031,41.86046600341797,9.356724739074707,1.1764706373214722,1.3108164072036743,1.3514512777328491
128.0,768.0,0.01,rnn,23.214284896850586,0.0,0.0,0.0,2.3427791595458984,2.3467373847961426
128.0,512.0,0.01,lstm2,87.28323364257812,53.488372802734375,11.11111068725586,0.5882353186607361,1.272857666015625,1.3280946016311646
64.0,512.0,0.01,rnn,59.88700485229492,18.75,0.0,0.0,1.8537276983261108,1.863405466079712
128.0,256.0,0.01,lstm,89.59537506103516,54.651161193847656,13.450292587280273,0.5882353186607361,1.243797779083252,1.3056793212890625
32.0,768.0,0.001,lstm,89.6551742553711,58.38150405883789,20.34883689880371,7.602339267730713,0.9823800921440125,1.1587777137756348
64.0,512.0,0.01,lstm2,82.94117736816406,37.86982345581055,12.5,1.197604775428772,1.3289449214935303,1.3748164176940918
64.0,256.0,0.01,lstm2,92.13483428955078,55.36723327636719,15.909090995788574,0.0,1.234292984008789,1.2916643619537354
32.0,256.0,0.001,rnn,81.39534759521484,46.198829650878906,11.176470756530762,1.1834319829940796,1.2831370830535889,1.3422068357467651
64.0,768.0,0.001,rnn,91.17646789550781,56.80473327636719,16.071428298950195,3.5928144454956055,1.125515341758728,1.229557752609253
32.0,1024.0,0.0001,rnn,87.57396697998047,55.9523811340332,19.760478973388672,1.2048193216323853,1.172394871711731,1.2567062377929688
128.0,768.0,0.001,lstm2,93.52941131591797,62.13017654418945,25.595237731933594,5.389221668243408,0.997217059135437,1.152807593345642
64.0,1024.0,0.001,lstm,90.74073791503906,55.90061950683594,17.5,0.6289308071136475,1.0030121803283691,1.1487373113632202
64.0,1024.0,0.0001,lstm,70.23809814453125,29.940120697021484,9.036144256591797,1.2121212482452393,1.256911277770996,1.3065366744995117
32.0,1024.0,0.01,rnn,52.238807678222656,11.5,0.0,0.0,2.104207992553711,2.1128246784210205
64.0,256.0,0.001,rnn,85.63218688964844,51.44508743286133,16.279069900512695,2.9239766597747803,1.2874966859817505,1.342111349105835
128.0,768.0,0.0001,rnn,72.7272720336914,37.71428680419922,10.344827651977539,1.1560693979263306,1.3775259256362915,1.4202557802200317
32.0,256.0,0.0001,lstm2,72.28915405273438,32.121212005615234,4.2682929039001465,0.6134969592094421,1.3913782835006714,1.4197801351547241
128.0,1024.0,0.01,lstm,84.78260803222656,47.540985107421875,6.043956279754639,1.6574585437774658,1.3477345705032349,1.3999968767166138
64.0,512.0,0.001,lstm,91.27906799316406,56.140350341796875,20.58823585510254,2.9585797786712646,1.056225061416626,1.1822203397750854
128.0,768.0,0.0001,lstm2,77.64705657958984,40.23668670654297,7.142857074737549,1.7964072227478027,1.334714651107788,1.3725334405899048
64.0,768.0,0.0001,rnn,75.72254180908203,39.53488540649414,8.771929740905762,0.0,1.291283369064331,1.344672441482544
32.0,1024.0,0.001,lstm2,90.69767761230469,65.49707794189453,22.941177368164062,4.142011642456055,0.9864169359207153,1.1437691450119019
128.0,256.0,0.0001,lstm,56.213016510009766,23.214284896850586,2.395209550857544,0.0,1.6363524198532104,1.6501003503799438
64.0,256.0,0.0001,lstm,72.28260803222656,34.972679138183594,8.241758346557617,1.1049723625183105,1.5315098762512207,1.5521162748336792
64.0,512.0,0.0001,lstm,72.09302520751953,31.578947067260742,7.058823585510254,0.5917159914970398,1.3735449314117432,1.4052656888961792
128.0,512.0,0.01,lstm,86.82634735107422,46.987953186035156,13.939393997192383,0.6097561120986938,1.1752139329910278,1.2523380517959595
128.0,1024.0,0.001,lstm2,93.02325439453125,61.403507232666016,26.47058868408203,2.9585797786712646,0.9536298513412476,1.1477078199386597
64.0,256.0,0.01,lstm,91.07142639160156,53.892215728759766,13.253011703491211,0.0,1.2584418058395386,1.3127081394195557
64.0,1024.0,0.0001,rnn,79.0960464477539,44.318180084228516,14.857142448425293,1.7241379022598267,1.244641900062561,1.3103902339935303
128.0,256.0,0.01,lstm2,87.2727279663086,51.219512939453125,10.429448127746582,0.6172839403152466,1.2247049808502197,1.2875219583511353
32.0,1024.0,0.0001,lstm,79.04191589355469,43.37349319458008,7.878787994384766,0.0,1.1553411483764648,1.2293639183044434
128.0,512.0,0.01,rnn,51.764705657958984,14.792899131774902,1.1904761791229248,0.0,1.860372543334961,1.874719500541687
64.0,512.0,0.0001,rnn,69.04762268066406,32.335330963134766,7.831325531005859,1.8181818723678589,1.3582960367202759,1.4002807140350342
128.0,1024.0,0.001,rnn,95.65217590332031,61.748634338378906,19.230770111083984,3.3149170875549316,1.1076955795288086,1.2132750749588013
