d_model,num_heads,num_layers,seq_len,1-gram %,2-gram %,3-gram %,4-gram %,train_loss,val_loss
256.0,12.0,2.0,200.0,91.07142639160156,57.48503112792969,16.867469787597656,4.848484992980957,1.0079764127731323,1.1569092273712158
256.0,12.0,2.0,300.0,92.6966323852539,58.75706100463867,19.31818199157715,3.4285714626312256,0.9906971454620361,1.1596707105636597
256.0,8.0,2.0,300.0,90.47618865966797,54.49101638793945,16.867469787597656,1.2121212482452393,1.0256644487380981,1.1623867750167847
256.0,8.0,2.0,200.0,95.0,67.03910827636719,19.662921905517578,3.3898305892944336,1.0268605947494507,1.1631226539611816
256.0,12.0,2.0,100.0,90.36144256591797,49.69696807861328,16.463415145874023,3.0674846172332764,1.0328565835952759,1.1759780645370483
256.0,4.0,2.0,200.0,87.71929931640625,44.70588302612305,12.42603588104248,0.5952380895614624,1.0591261386871338,1.1760705709457397
256.0,4.0,2.0,300.0,91.06145477294922,55.617977142333984,18.0790958404541,1.1363636255264282,1.0529335737228394,1.1761415004730225
256.0,8.0,2.0,100.0,92.30769348144531,51.93370056152344,14.44444465637207,3.3519554138183594,1.0621438026428223,1.1895232200622559
256.0,4.0,2.0,100.0,87.13450622558594,55.29411697387695,13.609467506408691,2.3809523582458496,1.0862301588058472,1.191861629486084
512.0,8.0,1.0,300.0,86.7403335571289,48.33333206176758,13.966480255126953,2.8089888095855713,1.1570898294448853,1.2767421007156372
256.0,12.0,1.0,300.0,89.88764190673828,50.84745788574219,14.204545021057129,1.1428571939468384,1.1796859502792358,1.2873578071594238
256.0,12.0,1.0,200.0,89.1891860961914,51.08695602416992,14.754097938537598,2.1978023052215576,1.194670557975769,1.2890442609786987
512.0,12.0,1.0,300.0,86.7052001953125,55.23255920410156,17.543859481811523,0.5882353186607361,1.1543024778366089,1.2919496297836304
512.0,4.0,1.0,200.0,87.29281616210938,51.11111068725586,12.849162101745605,0.5617977380752563,1.2023299932479858,1.298924207687378
512.0,4.0,1.0,300.0,79.88166046142578,40.47618865966797,8.982035636901855,1.2048193216323853,1.2016384601593018,1.3004933595657349
256.0,8.0,1.0,300.0,85.71428680419922,34.375,6.918239116668701,0.6329113841056824,1.209204077720642,1.3041155338287354
256.0,8.0,1.0,200.0,87.42857360839844,44.252872467041016,8.092485427856445,1.7441860437393188,1.2195039987564087,1.306260108947754
256.0,12.0,1.0,100.0,88.9534912109375,53.216373443603516,16.47058868408203,2.9585797786712646,1.23611581325531,1.3204416036605835
256.0,8.0,1.0,100.0,86.39053344726562,49.404762268066406,10.179640769958496,0.0,1.2455600500106812,1.3247103691101074
256.0,4.0,1.0,300.0,87.84530639648438,48.33333206176758,12.849162101745605,1.1235954761505127,1.2476381063461304,1.3273298740386963
512.0,12.0,1.0,200.0,80.23951721191406,41.56626510620117,12.727272987365723,1.2195122241973877,1.2414579391479492,1.3276357650756836
256.0,4.0,1.0,200.0,86.20689392089844,46.242774963378906,11.627906799316406,1.1695905923843384,1.2684603929519653,1.337611198425293
256.0,4.0,1.0,100.0,80.11695861816406,34.70588302612305,6.508875846862793,0.0,1.274220585823059,1.3402798175811768
512.0,8.0,1.0,200.0,81.54762268066406,34.73053741455078,4.216867446899414,0.6060606241226196,1.277069330215454,1.3575273752212524
512.0,4.0,2.0,300.0,71.0227279663086,25.14285659790039,2.873563289642334,0.0,1.3334842920303345,1.3938337564468384
512.0,4.0,2.0,200.0,76.87861633300781,38.372093200683594,7.602339267730713,1.1764706373214722,1.4659324884414673,1.5054107904434204
512.0,4.0,1.0,100.0,67.04545593261719,21.14285659790039,2.2988505363464355,0.0,1.5251904726028442,1.5661296844482422
512.0,8.0,1.0,100.0,51.764705657958984,15.384614944458008,2.3809523582458496,0.0,1.7136645317077637,1.7470959424972534
512.0,12.0,1.0,100.0,29.268293380737305,2.4539878368377686,0.0,0.0,2.0500600337982178,2.0674917697906494
512.0,4.0,2.0,100.0,37.12574768066406,1.2048193216323853,0.0,0.0,2.263140916824341,2.265976667404175
512.0,8.0,2.0,200.0,38.88888931274414,1.1173183917999268,0.0,0.0,2.255364418029785,2.2743263244628906
512.0,12.0,2.0,100.0,38.5,1.5075377225875854,0.0,0.0,2.387418270111084,2.383723020553589
512.0,8.0,2.0,100.0,44.22110366821289,4.040403842926025,0.0,0.0,2.4883408546447754,2.481412887573242
512.0,12.0,2.0,300.0,35.057472229003906,1.734104037284851,0.0,0.0,2.5237927436828613,2.5208559036254883
512.0,12.0,2.0,200.0,36.6863899230957,3.5714285373687744,0.598802387714386,0.0,2.5307185649871826,2.5293116569519043
512.0,8.0,2.0,300.0,38.33333206176758,1.6759777069091797,0.0,0.0,2.5563547611236572,2.556551933288574
